atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
9,6,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,1000,10,grid_lattice,both,Constant,NaN,Nan,6
9,6,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,6
9,6,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,6,1000,15,grid_lattice,both,Constant,NaN,Nan,6
9,7,16,4,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,16,4,grid_lattice,both,Constant,NaN,Nan,7
9,7,16,5,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,16,5,grid_lattice,both,Constant,NaN,Nan,7
9,7,16,10,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,16,10,grid_lattice,both,Constant,NaN,Nan,7
9,7,16,15,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,16,15,grid_lattice,both,Constant,NaN,Nan,7
9,7,20,4,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,20,4,grid_lattice,both,Constant,NaN,Nan,7
9,7,20,5,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,20,5,grid_lattice,both,Constant,NaN,Nan,7
9,7,20,10,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,20,10,grid_lattice,both,Constant,NaN,Nan,7
9,7,20,15,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,20,15,grid_lattice,both,Constant,NaN,Nan,7
9,7,30,4,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,30,4,grid_lattice,both,Constant,NaN,Nan,7
9,7,30,5,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,30,5,grid_lattice,both,Constant,NaN,Nan,7
9,7,30,10,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,30,10,grid_lattice,both,Constant,NaN,Nan,7
9,7,30,15,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,30,15,grid_lattice,both,Constant,NaN,Nan,7
9,7,100,4,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,100,4,grid_lattice,both,Constant,NaN,Nan,7
9,7,100,5,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,100,5,grid_lattice,both,Constant,NaN,Nan,7
9,7,100,10,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,100,10,grid_lattice,both,Constant,NaN,Nan,7
9,7,100,15,grid_lattice,amplitude,Constant,NaN,Nan,7
