input_data,train_len,test_len,neuron_number,sample_len,train_mae,test_mae
mackey,400,30,9,8,0.053088159728968666,0.05597324771957279
mackey,400,30,10,8,0.03974525261757715,0.038680556007102275
mackey,400,30,11,8,0.014498357917575885,0.030458326814954268
mackey,400,30,12,8,0.027462211903609667,0.03673931756121668
mackey,400,30,13,8,0.03433784481139692,0.03649304937737755
mackey,400,30,14,8,0.039767784579391945,0.03877398719743865
mackey,400,30,15,8,0.008188700448876509,0.03059932604459294
mackey,400,30,16,8,0.011727994512123993,0.045304818060504834
mackey,400,30,17,8,0.005749303100693249,0.03489302543137025
mackey,400,30,18,8,0.002903538793211775,0.053592474396105386
mackey,400,30,19,8,0.012294742183989927,0.03825239491833785
mackey,400,30,20,8,0.011934564011278005,0.04442063694930707
mackey,400,30,25,8,0.004155775813751989,0.04615594861472857
mackey,400,30,30,8,0.005161159335509766,0.09513519931933216
mackey,400,30,35,8,0.004489181378344958,0.07658444182037603
mackey,400,30,40,8,0.005442871156574401,0.09772366541196995
mackey,400,30,50,8,0.003592454032201191,0.05773453628654203
mackey,400,30,60,8,0.0032025171642471963,0.09360162337170262
mackey,400,30,70,8,0.005051562649789944,0.07566463557904056
mackey,400,30,80,8,0.0032510302662769565,0.11084347670016834
mackey,400,30,90,8,0.0031601829786581143,0.11252230476949661
mackey,400,30,100,8,0.003363943745413114,0.10973559190397716
mackey,450,30,4,8,0.19796396476354264,0.183819628826874
mackey,450,30,5,8,0.19796396476354264,0.183819628826874
mackey,450,30,6,8,0.03910492641227238,0.04863916084442499
mackey,450,30,7,8,0.03780245047755996,0.04738207428633236
mackey,450,30,8,8,0.03928396823294674,0.048880957854165165
mackey,450,30,9,8,0.0515314397004103,0.06653948471197667
mackey,450,30,10,8,0.03910416614349742,0.04863238120116313
mackey,450,30,11,8,0.01450912408185997,0.025179371956186226
mackey,450,30,12,8,0.026789561800423065,0.036810821913447304
mackey,450,30,13,8,0.03306723540187078,0.04214514678160877
mackey,450,30,14,8,0.03912241170056542,0.04876613561529231
mackey,450,30,15,8,0.008281308937276957,0.019678645984715366
mackey,450,30,16,8,0.012169094440419114,0.03055299193804944
mackey,450,30,17,8,0.006275700113794379,0.02173379240403774
mackey,450,30,18,8,0.0036703886044984944,0.03227623809286965
mackey,450,30,19,8,0.012220801262307564,0.026814617257951624
mackey,450,30,20,8,0.012231482920064502,0.027557436406187078
mackey,450,30,25,8,0.004921717063021133,0.027399404162798804
mackey,450,30,30,8,0.006521984772284977,0.05040741262363394
mackey,450,30,35,8,0.005938810804040216,0.04434663092519557
mackey,450,30,40,8,0.007542780850723359,0.05511953718268746
mackey,450,30,50,8,0.005038616331554428,0.033346702169989216
mackey,450,30,60,8,0.005047238139357213,0.055418850833047414
mackey,450,30,70,8,0.006610294092117019,0.04225486531341589
mackey,450,30,80,8,0.0051765079114445365,0.06573372202237675
mackey,450,30,90,8,0.005274047010325159,0.06789658568109923
mackey,450,30,100,8,0.005363129801102278,0.06435438700878099
